timestamp,duration,memory
2052496,30,150
2052536,10,147
2053052,49,150
2053465,93,203
2053466,879,185
2053497,49,150
2053843,49,150
2054195,49,150
2054513,30,150
2054853,49,150
2054938,93,203
2055391,49,150
2055398,30,150
2055950,30,150
2056214,30,150
2056240,49,150
2056642,49,150
2056782,49,150
2056917,49,150
2056983,49,150
2056995,30,150
2057005,49,150
2057344,30,150
2057606,49,150
2057928,30,150
2058244,30,150
2058289,49,150
2058805,49,150
2058970,93,203
2059015,30,150
2059111,30,150
2059189,30,150
2059322,49,150
2059672,30,150
2060236,49,150
2060301,30,150
2060302,49,150
2060353,30,150
2060877,30,150
2060964,30,150
2061125,49,150
2061189,49,150
2061348,30,150
2061501,30,150
2061638,49,150
2061796,30,150
2062427,30,150
2062533,49,150
2062570,49,150
2062634,49,150
2062669,49,150
2062728,49,150
2062941,30,150
2062956,30,150
2063145,49,150
2063358,30,150
2063425,93,203
2063590,30,150
2063651,49,150
2063758,49,150
2063818,30,150
2064032,49,150
2064241,49,150
2064551,30,150
2064656,924,179
2064674,30,150
2064707,262,137
2064887,30,150
2064972,49,150
2065046,30,150
2065375,586,137
2065459,30,150
2065705,30,150
2065807,49,150
2065953,49,150
2066057,819,175
2066070,49,150
2066081,30,150
2066121,831,178
2066354,49,150
2066374,49,150
2066720,30,150
2066870,49,150
2067452,841,176
2067675,30,150
2067960,55,147
2068669,835,128
2068699,49,150
2068732,49,150
2068970,49,150
2069095,819,175
2069315,49,150
2069570,49,150
2069821,49,150
2070311,49,150
2070540,49,150
2070575,30,150
2070950,875,147
2070984,49,150
2071162,62,147
2071196,49,150
2071200,1900,375
2071234,49,150
2071320,49,150
2071325,49,150
2071701,49,150
2071934,30,150
2072262,49,150
2072345,10,147
2072454,49,150
2072495,30,150
2072599,49,150
2072810,30,150
2072859,852,181
2072966,49,150
2073388,30,150
2073403,30,150
2073670,30,150
2073708,49,150
2073740,30,150
2073922,30,150
2073935,49,150
2073940,30,150
2073983,30,150
2074079,49,150
2074320,93,203
2075126,864,137
2075185,49,150
2075426,49,150
2075643,30,150
2075708,49,150
2075812,49,150
2075952,49,150
2076197,49,150
2076346,49,150
2076721,10,147
2076784,49,150
2077017,49,150
2077163,30,150
2077232,30,150
2077712,262,137
2077851,30,150
2078164,30,150
2078329,30,150
2078431,812,177
2078587,30,150
2078939,30,150
2079243,30,150
2079637,30,150
2080027,49,150
2080103,49,150
2080146,30,150
2080284,49,150
2080309,30,150
2080421,30,150
2080430,49,150
2080541,586,137
2080579,30,150
2080609,30,150
2080661,49,150
2080780,874,187
2080848,30,150
2080984,49,150
2081152,10,147
2081436,796,375
2081606,49,150
2081803,30,150
2081803,4167,375
2082118,49,150
2082301,30,150
2082346,49,150
2082616,30,150
2082674,49,150
2082738,919,185
2082766,30,150
2082780,30,150
2082793,49,150
2082825,49,150
2083078,30,150
2083237,49,150
2083373,120,203
2083424,49,150
2083683,30,150
2084480,49,150
2084603,30,150
2084758,30,150
2084864,49,150
2084943,30,150
2084983,864,137
2085289,10,147
2085794,894,177
2085941,49,150
2085966,30,150
2086008,819,181
2086028,30,150
2086092,30,150
2086462,30,150
2086674,30,150
2086693,30,150
2086718,30,150
2087080,30,150
2087269,30,150
2087275,30,150
2087584,49,150
2087667,30,150
2087671,49,150
2087698,49,150
2087716,49,150
2087743,49,150
2087794,30,150
2087971,30,150
2088178,49,150
2088263,49,150
2088379,30,150
2088450,49,150
2088493,30,150
2088716,10,147
2088727,30,150
2088797,30,150
2088801,49,150
2089052,30,150
2089139,49,150
2089727,30,150
2090106,49,150
2090210,30,150
2090366,30,150
2090474,30,150
2090699,49,150
2090755,49,150
2090790,30,150
2090816,30,150
2090882,49,150
2091033,49,150
2091070,49,150
2091136,30,150
2091290,49,150
2091396,49,150
2091416,49,150
2091724,30,150
2092072,49,150
2092392,30,150
2092441,30,150
2092537,49,150
2092732,93,203
2092922,16,91
2093182,49,150
2093297,30,150
2093316,49,150
2093332,49,150
2093389,49,150
2093470,93,203
2093567,30,150
2093588,30,150
2093770,49,150
2094030,30,150
2094111,6,147
2094892,30,150
2094991,49,150
2095129,30,150
2095544,30,150
2095600,10,147
2095622,10,147
2095755,49,150
2096015,10,147
2096292,49,150
2096976,49,150
2097490,30,150
2097751,30,150
2097946,49,150
2097992,30,150
2098154,49,150
2098306,30,150
2098605,49,150
2098670,93,203
2098714,30,150
2098915,49,150
2098999,49,150
2099085,49,150
2099498,30,150
2099699,30,150
2099751,49,150
2100048,812,177
2100180,30,150
2100697,30,150
2100818,49,150
2100819,49,150
2101324,30,150
2101504,49,150
2101663,30,150
2101702,30,150
2101944,30,150
2102433,30,150
2102590,49,150
2102667,49,150
2102761,143,121
2102874,30,150
2102888,49,150
2102979,49,150
2103092,30,150
2103125,30,150
2103249,30,150
2103426,49,150
2103632,49,150
2103717,49,150
2103849,30,150
2103970,30,150
2104013,93,203
2104243,49,150
2104678,49,150
2104853,827,179
2105113,49,150
2105206,30,150
2105220,30,150
2105234,49,150
2105323,30,150
2105342,49,150
2105461,49,150
2105522,49,150
2105681,30,150
2105990,49,150
2106180,49,150
2106309,49,150
2106413,30,150
2106599,30,150
2106734,49,150
2106815,30,150
2106921,49,150
2106975,30,150
2106984,30,150
2107032,7373,375
2107361,49,150
2107601,49,150
2107757,49,150
2107954,30,150
2108107,30,150
2108202,49,150
2108278,49,150
2108288,49,150
2108662,30,150
2108903,30,150
2108951,30,150
2109075,30,150
2109254,49,150
2109335,49,150
2109344,30,150
2109563,30,150
2109637,49,150
2109642,30,150
2109731,10,147
2110665,30,150
2110742,30,150
2110800,49,150
2110863,30,150
2111008,49,150
2111038,30,150
2111148,49,150
2111361,30,150
2111381,49,150
2111452,30,150
2111752,30,150
2111772,30,150
2111849,796,375
2111999,30,150
2112002,49,150
2112076,49,150
2112108,49,150
2112269,49,150
2112280,30,150
2112399,49,150
2112768,49,150
2112919,49,150
2113039,30,150
2113201,30,150
2113305,30,150
2113465,49,150
2113517,49,150
2114035,30,150
2114314,30,150
2114454,864,185
2114944,30,150
2114953,30,150
2115424,49,150
2115790,870,175
2115803,30,150
2116147,30,150
2116218,30,150
2116264,30,150
2116267,877,185
2116340,924,179
2116408,30,150
2116727,49,150
2116813,30,150
2116833,49,150
2116919,93,203
2116930,30,150
2117027,49,150
2117151,10,147
2117339,30,150
2117358,49,150
2117524,30,150
2117589,49,150
2117600,30,150
2117830,49,150
2117861,30,150
2118032,49,150
2118057,950,174
2118181,30,150
2118287,851,179
2118409,919,185
2118477,49,150
2118556,30,150
2119027,93,203
2119192,30,150
2119277,93,203
2119509,49,150
2119743,30,150
2119748,49,150
2119765,49,150
2120233,30,150
2120244,49,150
2120358,49,150
2120361,30,150
2120438,30,150
2120509,49,150
2120520,30,150
2120637,30,150
2120852,30,150
2120998,49,150
2121094,30,150
2121254,49,150
2121598,49,150
2121709,49,150
2121899,30,150
2121989,49,150
2122121,30,150
2122157,49,150
2122301,49,150
2122446,49,150
2122540,49,150
2123342,30,150
2123422,49,150
2123463,30,150
2123573,49,150
2123668,49,150
2123898,49,150
2124022,30,150
2124124,894,177
2124145,10,147
2124157,49,150
2124216,49,150
2124341,30,150
2124530,49,150
2124573,819,181
2124668,30,150
2124689,49,150
2125098,49,150
2125329,10,147
2125476,30,150
2125483,49,150
2125579,19137,148
2125699,49,150
2125836,49,150
2125853,30,150
2126058,6,147
2126187,30,150
2126929,30,150
2126942,30,150
2127138,93,203
2127740,49,150
2127780,819,175
2127886,49,150
2127954,30,150
2128133,49,150
2128256,18180,148
2128593,30,150
2128595,30,150
2128604,10,147
2128856,30,150
2128858,30,150
2129501,49,150
2129743,30,150
2129771,49,150
2129972,120,95
2130062,10,147
2130122,49,150
2130168,49,150
2130246,127,147
2130318,93,203
2130320,30,150
2130394,49,150
2130845,30,150
2130871,49,150
2131366,30,150
2131801,49,150
2131835,49,150
2131917,30,150
2131951,30,150
2132203,30,150
2132301,49,150
2132330,49,150
2132534,49,150
2132750,49,150
2132765,49,150
2132865,30,150
2133257,30,150
2133378,49,150
2133468,30,150
2133499,30,150
2133783,49,150
2133830,30,150
2133985,93,203
2134071,30,150
2134121,30,150
2134133,49,150
2134290,30,150
2134458,30,150
2134523,49,150
2134544,30,150
2134588,49,150
2134734,30,150
2134747,30,150
2135056,30,150
2135103,30,150
2135123,49,150
